;LLL;OLnL;PLnL;LOL;OLnO;PLL;PLnO;LOO;PoOO;PLO;PoOP;PLP;OOO;SLO;POO;POP;SOO;SOP ou POS;PPS ou POA
AP01;0.14;0.37;0.09;2.15;2.1;0.76;0.96;13.99;02.06;6.8;1.11;0.71;38.1;0.85;21.89;3.56;3.14;0.82;0.4
AP02;0.25;0.38;0.1;3.27;1.84;1.33;0.94;15.44;02.04;8.74;1.21;01.07;32.76;1.16;21.21;3.73;3.19;0.96;0.39
AP03;0.23;0.39;0.09;03.01;1.81;1.17;0.84;14.96;02.08;8.32;1.21;01.02;34.17;1;21.48;3.81;03.09;0.85;0.43
AP04;0.24;0.42;0.1;3.51;1.82;1.3;0.84;16.55;1.75;8.87;0.97;01.04;32.74;1.24;20.43;3.59;3.22;1;0.37
AP05;0.19;0.33;0.08;2.69;1.74;1;0.83;14.79;2.11;7.95;1.29;0.95;34.88;01.08;21.66;3.75;3.3;0.91;0.47
AP06;0.28;0.41;0.1;3.55;1.89;1.42;0.94;16.21;1.88;8.85;01.03;01.08;32.97;1.15;20.39;3.57;03.03;0.85;0.4
AP07;0.12;0.28;0.07;1.96;1.7;0.66;0.77;13.34;2.2;6.56;1.4;0.72;38.65;0.87;22.42;3.7;3.28;0.85;0.45
AP08;0.19;0.34;0.08;2.77;1.78;01.05;0.9;14.91;02.06;7.87;1.24;0.89;34.83;1.1;21.43;3.71;3.43;01.02;0.4
AP09;0.16;0.32;0.07;2.2;1.76;0.78;0.84;13.39;02.03;6.68;1.23;0.76;38.41;0.92;22.01;3.73;3.31;0.96;0.44
AP10;0.25;0.41;0.1;3.38;1.96;1.37;0.97;15.78;2.14;8.99;1.14;01.08;32.01;01.05;21.31;3.81;2.95;0.92;0.38
AP11;0.21;0.37;0.09;2.74;1.81;01.07;0.91;14.49;2.26;8.16;1.36;0.99;33.41;0.98;22.71;4.15;2.94;0.93;0.42
AP12;0.28;0.46;0.13;3.9;1.87;1.43;0.87;17.19;1.88;09.08;01.01;01.09;32.16;1.25;19.84;3.45;2.88;0.86;0.37
AP13;0.18;0.37;0.09;2.39;02.02;0.99;1;13.62;2.83;7.71;1.74;0.92;34.23;0.8;23.25;3.96;2.7;0.85;0.35
AP14;0.15;0.33;0.08;2.24;1.87;0.73;0.85;13.92;02.04;6.29;1.11;0.7;40.81;0.83;20.6;3.23;2.96;0.89;0.37
