;AP;HP;NI;NM;NY;VB
AP01;1;0;0;0;0;0
AP02;1;0;0;0;0;0
AP03;1;0;0;0;0;0
AP04;1;0;0;0;0;0
AP05;1;0;0;0;0;0
AP06;1;0;0;0;0;0
AP07;1;0;0;0;0;0
AP08;1;0;0;0;0;0
AP09;1;0;0;0;0;0
AP10;1;0;0;0;0;0
AP11;1;0;0;0;0;0
AP12;1;0;0;0;0;0
AP13;1;0;0;0;0;0
AP14;1;0;0;0;0;0
AP15;1;0;0;0;0;0
AP16;1;0;0;0;0;0
AP17;1;0;0;0;0;0
AP18;1;0;0;0;0;0
AP19;1;0;0;0;0;0
AP21;1;0;0;0;0;0
AP22;1;0;0;0;0;0
AP23;1;0;0;0;0;0
AP24;1;0;0;0;0;0
AP25;1;0;0;0;0;0
AP26;1;0;0;0;0;0
AP27;1;0;0;0;0;0
AP28;1;0;0;0;0;0
AP29;1;0;0;0;0;0
AP30;1;0;0;0;0;0
AP31;1;0;0;0;0;0
AP32;1;0;0;0;0;0
AP33;1;0;0;0;0;0
AP35;1;0;0;0;0;0
AP36;1;0;0;0;0;0
AP37;1;0;0;0;0;0
AP50;1;0;0;0;0;0
AP501;1;0;0;0;0;0
AP502;1;0;0;0;0;0
AP503;1;0;0;0;0;0
AP53;1;0;0;0;0;0
AP59;1;0;0;0;0;0
AP61;1;0;0;0;0;0
HP01;0;1;0;0;0;0
HP02;0;1;0;0;0;0
HP03;0;1;0;0;0;0
HP04;0;1;0;0;0;0
HP05;0;1;0;0;0;0
HP06;0;1;0;0;0;0
HP07;0;1;0;0;0;0
HP08;0;1;0;0;0;0
HP09;0;1;0;0;0;0
HP10;0;1;0;0;0;0
HP11;0;1;0;0;0;0
HP12;0;1;0;0;0;0
HP13;0;1;0;0;0;0
HP14;0;1;0;0;0;0
HP15;0;1;0;0;0;0
HP16;0;1;0;0;0;0
HP18;0;1;0;0;0;0
HP19;0;1;0;0;0;0
HP21;0;1;0;0;0;0
HP22;0;1;0;0;0;0
HP23;0;1;0;0;0;0
HP24;0;1;0;0;0;0
HP25;0;1;0;0;0;0
HP26;0;1;0;0;0;0
HP291;0;1;0;0;0;0
HP292;0;1;0;0;0;0
HP293;0;1;0;0;0;0
HP294;0;1;0;0;0;0
HP295;0;1;0;0;0;0
HP296;0;1;0;0;0;0
HP297;0;1;0;0;0;0
HP31;0;1;0;0;0;0
HP33;0;1;0;0;0;0
HP34;0;1;0;0;0;0
HP35;0;1;0;0;0;0
HP361;0;1;0;0;0;0
NI13;0;0;1;0;0;0
NI14;0;0;1;0;0;0
NI15;0;0;1;0;0;0
NI18;0;0;1;0;0;0
NI19;0;0;1;0;0;0
NI20;0;0;1;0;0;0
NI21;0;0;1;0;0;0
NI22;0;0;1;0;0;0
NI23;0;0;1;0;0;0
NI24;0;0;1;0;0;0
NI25;0;0;1;0;0;0
NI27;0;0;1;0;0;0
NI28;0;0;1;0;0;0
NI30;0;0;1;0;0;0
NI31;0;0;1;0;0;0
NI32;0;0;1;0;0;0
NI33;0;0;1;0;0;0
NI34;0;0;1;0;0;0
NI332;0;0;1;0;0;0
NI333;0;0;1;0;0;0
NI35;0;0;1;0;0;0
NI37;0;0;1;0;0;0
NI39;0;0;1;0;0;0
NI40;0;0;1;0;0;0
NI41;0;0;1;0;0;0
NI42;0;0;1;0;0;0
NI45;0;0;1;0;0;0
NI47;0;0;1;0;0;0
NM04;0;0;0;1;0;0
NM05;0;0;0;1;0;0
NM06;0;0;0;1;0;0
NM07;0;0;0;1;0;0
NM08;0;0;0;1;0;0
NM09;0;0;0;1;0;0
NM10;0;0;0;1;0;0
NM11;0;0;0;1;0;0
NM17;0;0;0;1;0;0
NM19;0;0;0;1;0;0
NM20;0;0;0;1;0;0
NM21;0;0;0;1;0;0
NM23;0;0;0;1;0;0
NM24;0;0;0;1;0;0
NY08;0;0;0;0;1;0
